직업,연소득,신용점수,DTI,근속연도,담보가치,승인여부
중소기업,4112,725,6,4,18500,거부
기타,11006,892,76,6,56400,거부
대기업,9732,750,46,4,34200,승인
대기업,9537,973,37,6,27500,승인
중소기업,5678,786,28,6,18200,거부
중소기업,6195,780,40,6,18500,거부
전문직,6009,754,32,2,16000,거부
기타,3816,674,33,12,15000,거부
대기업,7837,640,21,4,29900,승인
대기업,6143,730,38,14,15200,거부
전문직,16163,960,24,6,62800,승인
기타,3472,602,57,2,15300,거부
기타,2912,977,32,6,15000,거부
중소기업,4518,909,41,7,18900,거부
중소기업,3092,963,52,8,15000,거부
중소기업,4839,766,47,2,16300,거부
중소기업,4250,929,95,2,28800,거부
대기업,6372,727,36,12,17400,거부
중소기업,4459,982,44,2,17500,거부
중소기업,9561,904,31,12,26400,승인
대기업,8223,935,56,10,52500,승인
중소기업,4490,934,32,6,16700,거부
중소기업,3010,780,37,1,15000,거부
중소기업,8654,904,23,8,43000,승인
중소기업,3509,750,51,2,15000,거부
대기업,5261,917,37,2,16700,거부
중소기업,10562,979,25,11,30300,승인
대기업,14785,576,80,3,44500,거부
대기업,9530,689,22,12,21500,승인
전문직,16373,927,59,1,74600,승인
대기업,9003,734,23,11,21500,승인
중소기업,6380,880,28,11,17900,거부
전문직,18228,972,59,2,54200,승인
기타,8633,637,58,8,30900,승인
기타,3743,839,1,11,25300,승인
기타,8765,744,38,11,26000,승인
중소기업,6540,943,27,1,16500,거부
전문직,13407,957,40,5,38800,승인
대기업,6619,641,33,5,17800,거부
중소기업,4409,664,16,5,18200,거부
중소기업,4256,683,29,15,19800,거부
중소기업,7129,922,27,1,28700,승인
전문직,13203,866,20,3,52000,승인
기타,3608,979,58,7,15000,거부
중소기업,4020,913,23,1,37400,승인
대기업,9457,857,24,10,45700,승인
중소기업,3743,802,22,14,15000,거부
대기업,10812,771,10,5,33000,승인
대기업,5447,930,43,12,17700,거부
중소기업,3886,710,16,14,15000,거부
기타,5665,844,23,14,16700,거부
대기업,8107,915,43,4,21800,승인
기타,5488,897,40,12,20900,거부
기타,3212,748,46,7,15000,거부
대기업,9181,985,18,13,32000,승인
기타,9748,947,15,11,59800,승인
전문직,17303,829,22,7,87500,승인
중소기업,6743,944,15,1,38400,승인
전문직,12836,910,43,9,39300,승인
중소기업,4364,904,21,1,20800,거부
중소기업,4196,968,1,11,21500,거부
중소기업,8796,912,51,12,29500,승인
기타,4153,796,28,14,17600,거부
중소기업,10722,948,35,10,30500,승인
중소기업,4535,838,20,14,24900,승인
대기업,5454,930,28,7,16100,거부
중소기업,5876,971,41,2,21700,승인
기타,2412,709,32,1,29300,승인
전문직,18175,859,47,5,60300,승인
기타,11722,645,17,6,38500,승인
대기업,6428,961,46,2,17300,거부
중소기업,3911,837,0,7,24900,승인
전문직,17549,970,14,6,81800,승인
기타,2274,885,10,9,15000,거부
대기업,12364,791,24,15,60600,승인
대기업,5092,135,46,3,35600,거부
대기업,5102,994,43,5,18700,거부
전문직,18724,925,9,3,69600,승인
중소기업,4451,942,15,3,15500,거부
중소기업,3532,894,44,12,15000,거부
기타,4358,839,29,3,18700,거부
대기업,7592,980,37,15,55300,승인
중소기업,6007,816,46,2,19300,거부
전문직,15168,968,22,9,75100,승인
중소기업,8525,932,49,2,22000,승인
중소기업,4327,953,48,11,18100,거부
대기업,5775,955,70,10,18200,거부
대기업,10902,789,56,1,36100,승인
기타,2914,952,39,10,15000,거부
중소기업,4143,712,37,1,15100,거부
중소기업,4420,925,22,6,21300,거부
대기업,9945,990,40,12,20600,승인
대기업,11259,997,41,1,30000,승인
대기업,9298,722,78,8,36200,거부
대기업,7358,960,21,1,25600,승인
중소기업,3446,952,44,5,15000,거부
대기업,7598,732,17,13,59500,승인
중소기업,6607,564,30,8,17300,거부
전문직,9655,460,41,2,25000,승인
중소기업,3861,952,24,6,18800,거부
전문직,12411,869,16,11,37200,승인
대기업,6042,972,34,3,17500,거부
중소기업,4835,193,3,2,15800,거부
대기업,10413,949,36,11,40600,승인
기타,2515,958,46,5,25400,승인
중소기업,6169,710,23,12,25200,승인
중소기업,3393,767,32,1,24500,승인
대기업,11957,972,10,5,31600,승인
중소기업,4238,868,11,8,19600,거부
전문직,10943,828,11,4,34200,승인
중소기업,3102,992,23,2,15000,거부
중소기업,4854,818,3,3,38000,승인
기타,4735,724,16,8,17700,거부
기타,2172,756,75,2,15000,거부
대기업,8113,747,38,12,26200,승인
기타,2696,998,42,3,19000,거부
기타,2140,653,40,9,15000,거부
중소기업,5974,766,44,5,15700,거부
기타,4798,936,47,5,29200,승인
대기업,7458,956,53,28,29500,승인
기타,2570,834,30,8,15000,거부
기타,5791,879,25,7,16000,거부
중소기업,4585,961,51,4,23400,승인
중소기업,4476,861,43,25,24400,승인
중소기업,3681,870,24,1,15000,거부
중소기업,10308,635,36,3,39700,승인
기타,6787,935,39,15,30400,승인
기타,2449,718,35,7,15000,거부
전문직,14795,685,46,14,35900,승인
대기업,12648,728,48,9,36800,승인
중소기업,3224,688,41,1,22200,거부
중소기업,10486,927,31,7,53100,승인
중소기업,6945,801,55,3,16700,거부
중소기업,4720,805,36,6,19700,거부
기타,5384,941,49,4,17700,거부
중소기업,9668,713,39,3,37300,승인
대기업,8328,958,49,11,25200,승인
대기업,5885,607,36,1,15200,거부
중소기업,4590,701,28,2,15300,거부
기타,2706,919,27,11,17900,거부
기타,5098,872,24,2,19200,거부
중소기업,3286,955,56,6,15000,거부
중소기업,5850,928,38,1,16100,거부
중소기업,3241,705,49,2,15000,거부
중소기업,8947,635,41,21,25000,승인
전문직,7332,933,27,14,20800,승인
대기업,6697,926,48,1,17200,거부
대기업,12076,986,46,11,37200,승인
전문직,17899,696,27,7,73200,승인
중소기업,3977,794,1,8,19100,거부
기타,5483,346,21,1,33500,승인
중소기업,3089,939,25,1,15000,거부
중소기업,3802,875,22,1,15000,거부
중소기업,3941,826,27,4,26500,승인
기타,3465,729,30,2,15000,거부
중소기업,4108,924,90,13,18600,거부
대기업,9164,918,44,12,29900,승인
대기업,8626,970,74,11,25100,거부
중소기업,3163,732,27,3,17500,거부
대기업,14564,840,24,24,40400,승인
중소기업,4204,741,13,5,17400,거부
대기업,9299,829,36,3,55200,승인
대기업,8421,851,38,4,54100,승인
대기업,12773,967,53,8,33700,승인
전문직,11850,982,44,11,30700,승인
기타,2550,953,44,3,15000,거부
중소기업,4646,779,21,6,15000,거부
중소기업,3355,730,5,3,15000,거부
전문직,12705,683,48,11,57100,승인
대기업,9883,827,48,2,25300,승인
대기업,8678,706,10,5,36100,승인
전문직,10778,994,25,3,59500,승인
대기업,10114,987,25,11,38500,승인
중소기업,4574,944,66,9,19700,거부
대기업,13830,711,42,3,31800,승인
중소기업,4225,938,31,6,17600,거부
대기업,6499,731,39,4,17000,거부
중소기업,4250,799,19,5,18700,거부
기타,2588,935,93,1,19000,거부
중소기업,3259,935,22,8,15000,거부
중소기업,3749,983,39,1,15000,거부
중소기업,3380,767,31,7,15000,거부
기타,3996,944,53,13,15000,거부
기타,5438,997,40,3,18500,거부
중소기업,5534,752,47,10,17100,거부
대기업,9856,958,0,4,46100,승인
기타,3853,890,54,1,22200,거부
대기업,9311,969,6,11,29700,승인
대기업,5548,774,48,2,16200,거부
중소기업,3656,936,27,8,19200,거부
전문직,17652,929,24,30,61500,승인
기타,2785,716,25,8,25200,승인
기타,3232,974,48,5,19000,거부
대기업,9226,996,26,7,21500,승인
중소기업,3998,817,57,5,15000,거부
중소기업,5675,740,50,9,16100,거부
대기업,5783,818,36,4,17900,거부
기타,4570,334,39,8,35600,승인
기타,4604,816,38,12,17600,거부
대기업,8390,855,59,30,29300,승인
대기업,10042,985,40,3,78100,승인
전문직,11233,764,47,2,35600,승인
중소기업,6127,970,16,11,19400,거부
기타,5718,934,42,4,28500,승인
대기업,6102,939,41,3,34000,승인
전문직,13576,945,21,4,36900,승인
중소기업,11398,967,28,2,35200,승인
대기업,9255,603,22,8,29600,승인
전문직,9972,906,22,6,21000,승인
중소기업,10571,956,28,15,37200,승인
대기업,5262,746,3,8,33100,승인
대기업,9094,384,23,1,23100,승인
대기업,10316,800,32,12,36500,승인
중소기업,7821,267,25,12,35300,거부
대기업,7519,77,44,9,23000,거부
중소기업,6116,935,38,4,15700,거부
중소기업,6562,614,10,9,19700,거부
대기업,7779,990,59,11,49400,승인
대기업,6721,837,33,6,20800,승인
기타,4472,706,29,6,17000,거부
대기업,5238,731,1,4,16700,거부
대기업,7270,640,28,1,47400,승인
전문직,19903,900,23,6,72800,승인
중소기업,7551,873,1,2,23500,승인
중소기업,6539,982,36,2,16500,거부
중소기업,6027,701,54,10,26100,승인
기타,3740,743,1,10,21600,거부
중소기업,7861,987,53,11,27300,승인
기타,3134,841,21,5,15000,거부
대기업,7741,924,31,3,26600,승인
대기업,7408,964,32,3,26900,승인
대기업,7918,703,44,12,23300,승인
대기업,8259,993,16,2,36000,승인
중소기업,4256,799,25,3,17200,거부
